CookerStat, GenerateAssetRegistry=0.037704, Initialize=0.198361, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_D2__DCF540380442698E832A4B73EE0816A6D2A3F0E8, StartTime=2016.06.02-18.46.11, HierarchicalDDC=, DataSize=925961, Duration=8.567240, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9FE01517456B7EFABA884D8C0362BC4__D12B44A88D529AB91D2EAAE5CC6E60FC3286548B, StartTime=2016.06.02-18.46.11, HierarchicalDDC=, DataSize=279664, Duration=7.496748, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9FE01517456B7EFAB__C2FECAA121660A6FE0CC41EC56877740A7D1C834, StartTime=2016.06.02-18.46.11, HierarchicalDDC=, DataSize=2277, Duration=7.502895, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_81E17DF9451CFF2BB__E23FD7FC08E92D1AC13F8728BFE6CAD74F6863FC, StartTime=2016.06.02-18.46.11, HierarchicalDDC=, DataSize=37409, Duration=6.707400, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_295B90D14CDC6463C__9A03E204CC3CC96CEBA440E39B2F814FA7EF4E2A, StartTime=2016.06.02-18.46.11, HierarchicalDDC=, DataSize=33473, Duration=5.810268, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_1, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_9E__04B941B70A68BE58787DC9F8C8A30BFCEE2CEC0F, StartTime=2016.06.02-18.46.11, HierarchicalDDC=, DataSize=2429, Duration=5.889364, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0ABFFB864A7CA6E73A013AB85F25C39__FF2202EB5B4EE804A1F2A421B975E4485FBE632A, StartTime=2016.06.02-18.46.11, HierarchicalDDC=, DataSize=1026, Duration=5.699608, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_0ABFFB864A7CA6E73__0C3C195C955212E085B78A6D190A4E58191230F6, StartTime=2016.06.02-18.46.11, HierarchicalDDC=, DataSize=645, Duration=5.384441, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_2, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_87__E32F74949A4AD7875A2FDE2D2D6D888587827191, StartTime=2016.06.02-18.46.12, HierarchicalDDC=, DataSize=245825, Duration=8.117240, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_3, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_FD__9DB90004FBE3680852C62C2B98B1159D39A5AD83, StartTime=2016.06.02-18.46.12, HierarchicalDDC=, DataSize=13789, Duration=5.969692, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2A51E8AC46FE72C84B0533AE12EA25E__983A8936C342548C786FDACCBCEC0B1C02C7C83B, StartTime=2016.06.02-18.46.12, HierarchicalDDC=, DataSize=75520, Duration=5.166411, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_3, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_2A51E8AC46FE72C84__4BDAD7ABF2A912BE6F69E4FCB6F5F2EBE668BC47, StartTime=2016.06.02-18.46.12, HierarchicalDDC=, DataSize=401, Duration=5.801659, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_42CEEC034608CAE59C59829359B4BCA__2C4AB0ECB1270158A8200CC150BDA6E172831013, StartTime=2016.06.02-18.46.12, HierarchicalDDC=, DataSize=8226, Duration=5.939774, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_4, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_42CEEC034608CAE59__7456449272C4596D277A9E4C1B21866062506AAE, StartTime=2016.06.02-18.46.12, HierarchicalDDC=, DataSize=2933, Duration=4.818868, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
