CookerStat, GenerateAssetRegistry=0.023771, Initialize=0.127051, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_74__C918ABE122CB638A8BA4310A9D3A80838CCEC446, StartTime=2016.06.13-16.48.31, HierarchicalDDC=, DataSize=8681, Duration=5.195502, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_106A49714902ACC16A6FA08432415E9__6E5C5E69912B4E8541C9AF5755CD8CBA9FFE883B, StartTime=2016.06.13-16.48.31, HierarchicalDDC=, DataSize=2680, Duration=4.690994, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C45AA4E541C2BB009ACB539E3FE1025__21F2716E5298E7F17C269283194A41E916482B20, StartTime=2016.06.13-16.48.31, HierarchicalDDC=, DataSize=3694, Duration=5.268451, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
SavePackageTransactionId4E2E87F9430E838CDFAC1E88A2D49925_0, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Wall_Area2.uasset, AutoPackageBackupDelegate=0.161067, FlushAsyncLoading=0.005737, FlushStreamingFunc=0.052460, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.227869, TagPackageExports=0.033196, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.563119, GatherLocalizableTextData=0.186473, MarkNames=0.008199, SerializeSummary=0.027869, SerializeNames=0.098359, SerializeGatherableTextData=0.002049, BuildExportMap=0.017624, SortExportsNonSeekfree=0.006557, SortExportsSeekfreeConstructor=0.065986, SortExportsSeekfreeInner=0.667624, SortExportsSeekfree=0.003278, BuildDependencyMap=0.009015, SerializeImportMap=0.009019, SerializeExportMap=0.005327, SerializeDependencyMap=0.002049, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.371742, SerializeExports=0.338115, SerializeBulkData=0.032786, MoveFile=4.275009, UnaccountedTime=4.219681, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_F6D082F748B17B9EB__7834D7E96F73EF6E8669C52A40CF9B1992BBB5BB, StartTime=2016.06.13-16.48.35, HierarchicalDDC=, DataSize=2277, Duration=4.169271, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_3DFB9821422F9CF9B__D08BB7F89B487AE2DCAA5179B959BC683B6DE5A5, StartTime=2016.06.13-16.48.35, HierarchicalDDC=, DataSize=1133, Duration=4.893452, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_A7B773CC47B684A51__4DD14BA50D0B0B24AA12DE76E5CF97F717D35DEA, StartTime=2016.06.13-16.48.36, HierarchicalDDC=, DataSize=2325, Duration=3.810663, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D899C35142FC2C667FBA67B55641F76C__1_0_13123_0, StartTime=2016.06.13-16.48.46, HierarchicalDDC=, DataSize=458, Duration=2.518039, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_3, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_CF__00229B0DB8EA43EF0AD820154023B4BD1F11F4D8, StartTime=2016.06.13-16.49.39, HierarchicalDDC=, DataSize=8737, Duration=4.868861, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4BCE5756422B51F9F75A65900E43BC3__B2368D9122C34CA7615223ADBA19B82A16075370, StartTime=2016.06.13-16.49.39, HierarchicalDDC=, DataSize=2456, Duration=5.354520, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3ECA008443A855F73E1E60AB65656AE__C1BA9AD51B8D2C37077AF9D3FCC114300BA8B0B8, StartTime=2016.06.13-16.49.39, HierarchicalDDC=, DataSize=3470, Duration=7.186491, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9B9E54C349D3ACB5C7E0CB955168F39__ACD8A048502BE53919F230A42D15376DB34C8006, StartTime=2016.06.13-16.49.39, HierarchicalDDC=, DataSize=3470, Duration=7.475015, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
SavePackageTransactionId4E2E87F9430E838CDFAC1E88A2D49925_1, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Wall_Area2.uasset, AutoPackageBackupDelegate=4.924599, FlushAsyncLoading=0.011478, FlushStreamingFunc=0.040162, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.243034, TagPackageExports=0.031557, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.579100, GatherLocalizableTextData=0.313934, MarkNames=0.007380, SerializeSummary=0.012703, SerializeNames=0.077050, SerializeGatherableTextData=0.001229, BuildExportMap=0.018444, SortExportsNonSeekfree=0.009835, SortExportsSeekfreeConstructor=0.067621, SortExportsSeekfreeInner=0.634838, SortExportsSeekfree=0.002868, BuildDependencyMap=0.008199, SerializeImportMap=0.007790, SerializeExportMap=0.004917, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.137724, SerializeExports=0.268444, SerializeBulkData=0.018850, MoveFile=4.913125, UnaccountedTime=3.841810, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_5, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_E6__90C3E074B15F09EC4371974D55EDF223E1AB5671, StartTime=2016.06.13-16.50.51, HierarchicalDDC=, DataSize=8793, Duration=5.532388, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_570A695541D5ED4C943D5ABC0A132E3__FC356296316B97EB8A9DCB57463514898FAE6981, StartTime=2016.06.13-16.50.51, HierarchicalDDC=, DataSize=2456, Duration=5.892225, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
