CookerStat, GenerateAssetRegistry=0.026640, Initialize=0.142623, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionIdFAA143B94FC6335EB82FE7B456ACBE9C_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_3350F43D4273E04DA__624668415133CE737E5274A3A1624DD2D92EC2DC, StartTime=2016.06.14-22.47.38, HierarchicalDDC=, DataSize=597, Duration=4.537716, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_F3FA53DE4D13E4DFE__D08F8A5F8B727A017F92CF59D9F7D497F25B3389, StartTime=2016.06.14-22.47.38, HierarchicalDDC=, DataSize=837, Duration=5.257390, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId9E775DBE4C4488DF8DF5B7B1F64854E6_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_5F2F55A243B793787__7A483A4A58FE2674ABCFC587C998BB7513AF7361, StartTime=2016.06.14-22.47.38, HierarchicalDDC=, DataSize=957, Duration=4.116401, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionIdFAA143B94FC6335EB82FE7B456ACBE9C_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_FF7004C3426788892__649C82E63AFB434E6002C868DE6D89A74D535C3D, StartTime=2016.06.14-22.47.38, HierarchicalDDC=, DataSize=36261, Duration=6.651651, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C53234D2493D1099F__FB1B1D29B0848462C6BBD9C3F822954DD924326F, StartTime=2016.06.14-22.47.38, HierarchicalDDC=, DataSize=2133, Duration=4.313946, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_2, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_9D__6F0438A57128948187AEF1BBBB51F7CB5F9BF841, StartTime=2016.06.14-23.08.50, HierarchicalDDC=, DataSize=194377, Duration=5.377058, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionIdFAA143B94FC6335EB82FE7B456ACBE9C_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_63981D784EE3DB3D2A8C72B04581A92__A89731596D0DD529F4A4B13C57FB86D0C6E2BB17, StartTime=2016.06.14-23.08.50, HierarchicalDDC=, DataSize=56557, Duration=5.058207, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId9E775DBE4C4488DF8DF5B7B1F64854E6_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1F059E6048C6AB84D2D7D9B3BB4832D__3788535885F99B8E26FC5C2F56524DE1A0B0BA37, StartTime=2016.06.14-23.08.50, HierarchicalDDC=, DataSize=58897, Duration=28.743092, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A70EA73C45C68B9FDD8A8D80A36D869__858F4E5ACC1BF4B3D0771749E3AE03A46476EF74, StartTime=2016.06.14-23.08.50, HierarchicalDDC=, DataSize=58897, Duration=33.757034, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
SavePackageTransactionId5D0CB05743CC4C5D70FA15B61D470405_0, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Building_Column001.uasset, AutoPackageBackupDelegate=5.336895, FlushAsyncLoading=0.025820, FlushStreamingFunc=0.075001, BlockTillAllRequestsFinished=0.005737, ResetLoadersForSaveUnMarkAllObjects=0.695903, TagPackageExports=0.039343, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.623360, GatherLocalizableTextData=0.375412, MarkNames=0.009015, SerializeSummary=0.029098, SerializeNames=0.086885, SerializeGatherableTextData=0.001643, BuildExportMap=0.024997, SortExportsNonSeekfree=0.011068, SortExportsSeekfreeConstructor=0.090163, SortExportsSeekfreeInner=0.695083, SortExportsSeekfree=0.002868, BuildDependencyMap=0.011478, SerializeImportMap=0.011064, SerializeExportMap=0.005737, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.040189, SerializeExports=0.436064, SerializeBulkData=0.149183, MoveFile=4.950419, UnaccountedTime=4.196733, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId9E775DBE4C4488DF8DF5B7B1F64854E6_2, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_53__E71C5E4F5ED9077FC1745C9DFC73F5F358EE58E2, StartTime=2016.06.14-23.12.21, HierarchicalDDC=, DataSize=221917, Duration=5.793043, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
