CookerStat, GenerateAssetRegistry=0.027459, Initialize=0.141803, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId34BF6E3E438279F968EDB68E59AC2ABE_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_F6__942E4D7C615DB8438375B8E554FBA22ABC018F03, StartTime=2016.04.05-16.35.13, HierarchicalDDC=, DataSize=67061, Duration=14.487319, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId7923AD8C492EBA0A3B6088B058A8E60C_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_010FEBE344456046078325ABFECC035__65C9E2C4D45689167C63CA16C21DBC6DCB9BEACF, StartTime=2016.04.05-16.35.13, HierarchicalDDC=, DataSize=18715, Duration=7.912308, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionIdE35F68AB4572B2B9C7B550B58B0193A0_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_297E2C6149DE2C404EFFF68B7F4AA78__50C1D3B9C8BE3670D3C9E0476693D7DA904C7821, StartTime=2016.04.05-16.35.13, HierarchicalDDC=, DataSize=18715, Duration=5.991403, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
SavePackageTransactionIdD8FEC7824AF7BB3395427A8ABCB4B6AF_0, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Saved/Autosaves/Game/Assets/Models/Building_Upper001_Auto1.uasset, AutoPackageBackupDelegate=5.824190, FlushAsyncLoading=0.053279, FlushStreamingFunc=0.068441, BlockTillAllRequestsFinished=0.009429, ResetLoadersForSaveUnMarkAllObjects=2.047543, TagPackageExports=0.044670, BeginCacheForCookedPlatformData=0.002868, SerializeImports=0.987709, GatherLocalizableTextData=0.337705, MarkNames=0.011884, SerializeSummary=0.027869, SerializeNames=0.079509, SerializeGatherableTextData=0.002049, BuildExportMap=0.031147, SortExportsNonSeekfree=0.012707, SortExportsSeekfreeConstructor=0.113115, SortExportsSeekfreeInner=1.511887, SortExportsSeekfree=0.009838, BuildDependencyMap=0.021718, SerializeImportMap=0.011064, SerializeExportMap=0.006147, SerializeDependencyMap=0.002868, SerializeStringAssetReferenceMap=0.003278, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.844279, SerializeExports=0.315577, SerializeBulkData=0.054099, MoveFile=6.602060, UnaccountedTime=0.241395, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId7923AD8C492EBA0A3B6088B058A8E60C_1, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_E2__06CF1F321706DD2B00C46FDC167C8D80FA3FA873, StartTime=2016.04.05-16.35.41, HierarchicalDDC=, DataSize=178949, Duration=5.674601, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId34BF6E3E438279F968EDB68E59AC2ABE_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_81CA83D84DDA31E559977986E0366A0__4E8805589BC38B7B1D15A0F3CE69EDE59BB9BDC1, StartTime=2016.04.05-16.35.41, HierarchicalDDC=, DataSize=50981, Duration=6.125421, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionIdE35F68AB4572B2B9C7B550B58B0193A0_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C18AEF214F2E0E019D368BA3535CE57__D6BBD34199F46A26021A0FEB0FF604B8EA22383F, StartTime=2016.04.05-16.35.41, HierarchicalDDC=, DataSize=50981, Duration=8.567638, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId34BF6E3E438279F968EDB68E59AC2ABE_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D929BC0042EB62B5CDB70F9D7649D3A__F0CAF81B3F4483A18C3E22518B96D4A68C7ABB85, StartTime=2016.04.05-16.36.48, HierarchicalDDC=, DataSize=50981, Duration=6.887306, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId34BF6E3E438279F968EDB68E59AC2ABE_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_16A6E38443C197C997B151BC124EB4A__738854AE888FEF4A34441DF0FA84C33A94AD04F6, StartTime=2016.04.05-16.36.55, HierarchicalDDC=, DataSize=52367, Duration=11.426658, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId34BF6E3E438279F968EDB68E59AC2ABE_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DFC39E2349894A9DE90EFFA720D9821__E30BA41AFF7EEAD654A4F485CF61CE42901ED840, StartTime=2016.04.05-16.36.58, HierarchicalDDC=, DataSize=52367, Duration=8.729935, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
SavePackageTransactionIdD8FEC7824AF7BB3395427A8ABCB4B6AF_1, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Building_Upper001.uasset, AutoPackageBackupDelegate=1.156151, FlushAsyncLoading=0.004098, FlushStreamingFunc=0.139754, BlockTillAllRequestsFinished=0.005737, ResetLoadersForSaveUnMarkAllObjects=1.254920, TagPackageExports=0.030737, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.648364, GatherLocalizableTextData=0.475410, MarkNames=0.025000, SerializeSummary=0.019670, SerializeNames=0.117626, SerializeGatherableTextData=0.002049, BuildExportMap=0.045080, SortExportsNonSeekfree=0.034425, SortExportsSeekfreeConstructor=0.018034, SortExportsSeekfreeInner=0.879921, SortExportsSeekfree=0.003688, BuildDependencyMap=0.009835, SerializeImportMap=0.009425, SerializeExportMap=0.005327, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.834442, SerializeExports=0.353687, SerializeBulkData=0.115987, MoveFile=4.676648, UnaccountedTime=6.210257, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
